dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,path,metadata_version,MC Aleatoric Mean,MC Epistemic Mean,MC Total Mean,P Aleatoric Mean,P Epistemic Mean,P Total Mean
imdb,3,pure_logits,greedy_50_post_calib,50,19,0.0991458222270011,1.53076218242399,0.6397334443981675,1.0,llm_experiments_data/arrays/ftc_imdb_3_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.08103708922863007,0.006882944144308567,0.08792003244161606,0.06465405970811844,0.02325969748198986,0.08791375905275345
mteb/tweet_sentiment_extraction,3,pure_logits,greedy_50_post_calib,50,28,0.4962888360023498,1.1142357351103709,0.941274468971262,1.0,llm_experiments_data/arrays/mteb_tweet_sentiment_extraction_3_pure_logits_greedy_50_post_calib_2025-04-20.npz,mini,0.4209621250629425,0.06113477423787117,0.48209691047668457,0.23656795918941498,0.2455161064863205,0.4820840656757355
mteb/tweet_sentiment_extraction,3,pure_logits,greedy_50_post_calib,50,21,0.4759505689144134,1.4077634319033736,0.6297376093294461,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_3_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.4331364035606384,0.024775493890047073,0.4579119384288788,0.369304358959198,0.08859149366617203,0.4578958749771118
ag_news,3,pure_logits,greedy_50_post_calib,50,30,0.1854144632816314,1.650512286547272,0.7263640149937527,1.0,llm_experiments_data/arrays/ag_news_3_pure_logits_greedy_50_post_calib_2025-04-20.npz,mini,0.17443247139453888,0.010694253258407116,0.18512672185897827,0.123297780752182,0.06180579587817192,0.18510356545448303
ag_news,3,pure_logits,greedy_50_post_calib,50,20,0.1382708400487899,1.53076218242399,0.5397750937109538,1.0,llm_experiments_data/arrays/ftc_ag_news_3_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.1365644633769989,0.0029817011673003435,0.13954615592956543,0.12346165627241135,0.01606273464858532,0.13952438533306122
dbpedia_14,3,pure_logits,greedy_50_post_calib,50,27,0.0297703016549348,1.7751603498542277,0.6597251145356102,1.0,llm_experiments_data/arrays/dbpedia_14_3_pure_logits_greedy_50_post_calib_2025-04-20.npz,mini,0.031706590205430984,0.0006224241224117577,0.032329011708498,0.022915909066796303,0.009285783395171165,0.03220169246196747
dbpedia_14,3,pure_logits,greedy_50_post_calib,50,14,0.0284258443862199,1.7397251145356103,0.6247396917950854,1.0,llm_experiments_data/arrays/ftc_dbpedia_14_3_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.029604041948914528,0.0002554718521423638,0.02985951490700245,0.026527101173996925,0.0031969742849469185,0.02972407639026642
stanfordnlp/sst2,3,pure_logits,greedy_50_post_calib,50,22,0.1313766837120056,1.4868804664723034,0.7863390254060808,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_3_pure_logits_greedy_50_post_calib_2025-04-24.npz,mini,0.11076411604881287,0.018117574974894524,0.12888169288635254,0.06549103558063507,0.06339511275291443,0.1288861483335495
stanfordnlp/sst2,3,pure_logits,greedy_50_post_calib,50,22,0.1129917949438095,1.5924864639733447,0.7197001249479384,1.0,llm_experiments_data/arrays/ftc_stanfordnlp_sst2_3_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.09449506551027298,0.010181672871112823,0.1046767309308052,0.06998460739850998,0.034695789217948914,0.1046803891658783
SetFit/mnli,3,pure_logits,greedy_50_post_calib,50,22,0.3494983613491058,1.897259475218659,0.4897959183673469,1.0,llm_experiments_data/arrays/setfit_mnli_3_pure_logits_greedy_50_post_calib_2025-04-24.npz,mini,0.3349495232105255,0.01655096374452114,0.3515004813671112,0.2924133837223053,0.059081923216581345,0.35149529576301575
