SEED,Split,Model,C1,C2,Epi Scalar,Epsilon,NLL Val,NLL Test
43,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8363636363636364,99.49748743718594,1.0,0.0,0.15085624,0.14233251
43,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_global,0.8363636363636364,0.9595959595959597,1.0,0.0,0.15194581,0.14346173
44,"('0.2_0.2_0.6_128_OOD_with_noise',)",Simple NN,,,,,0.14713493,0.14073607
44,"('0.2_0.2_0.6_128_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.1496995,0.14333603
44,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_pure_logits,0.8727272727272728,2.0505050505050506,1.0,0.0,0.14867069,0.1421755
44,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb,0.8545454545454545,4.545454545454545,1.0,0.0,0.14678392,0.1372458
44,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8,82.91457286432161,1.0,0.0,0.14682177,0.13695784
44,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_global,0.8181818181818181,0.9393939393939394,1.0,0.0,0.14801489,0.13794738
45,"('0.2_0.2_0.6_128_OOD_with_noise',)",Simple NN,,,,,0.15118243,0.14401548
45,"('0.2_0.2_0.6_128_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.14907475,0.14151914
45,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_pure_logits,0.9090909090909092,1.0,1.0,0.0,0.14790493,0.14050584
45,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb,0.8909090909090909,3.3333333333333335,1.0,0.0,0.14765954,0.13648628
45,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8,93.46733668341709,1.0,0.0,0.14675054,0.13411567
45,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_global,0.8181818181818181,0.9393939393939394,1.0,0.0,0.14733279,0.13576756
46,"('0.2_0.2_0.6_128_OOD_with_noise',)",Simple NN,,,,,0.14936107,0.1453729
46,"('0.2_0.2_0.6_128_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.150264,0.14590397
46,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_pure_logits,0.9272727272727272,1.8080808080808082,1.0,0.0,0.1498384,0.14536804
46,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb,0.9272727272727272,3.8383838383838382,1.0,0.0,0.1491842,0.14119571
46,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8545454545454545,45.22613065326633,1.0,0.0,0.14939375,0.14098126
46,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_global,0.9818181818181817,0.0,1.0,0.0,0.15019953,0.1437283
47,"('0.2_0.2_0.6_128_OOD_with_noise',)",Simple NN,,,,,0.16529368,0.155521
47,"('0.2_0.2_0.6_128_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.15205006,0.14703737
47,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_pure_logits,0.8545454545454545,2.1313131313131315,1.0,0.0,0.1505725,0.14546746
47,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb,0.8181818181818181,3.7373737373737375,1.0,0.0,0.14669307,0.13579708
47,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.7454545454545454,88.94472361809046,1.0,0.0,0.14625171,0.13308242
47,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_global,0.7818181818181817,0.9494949494949496,1.0,0.0,0.1475339,0.1360291
48,"('0.2_0.2_0.6_128_OOD_with_noise',)",Simple NN,,,,,0.15221456,0.15196288
48,"('0.2_0.2_0.6_128_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.15217233,0.14570825
48,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_pure_logits,0.8727272727272728,2.858585858585859,1.0,0.0,0.15084802,0.14117561
48,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb,0.8727272727272728,4.242424242424242,1.0,0.0,0.14894548,0.13876909
48,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8727272727272728,27.1356783919598,1.0,0.0,0.15012318,0.13973662
48,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_global,0.8909090909090909,0.797979797979798,1.0,0.0,0.15130112,0.14120874
49,"('0.2_0.2_0.6_128_OOD_with_noise',)",Simple NN,,,,,0.14430909,0.13760175
49,"('0.2_0.2_0.6_128_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.15185362,0.14420092
49,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_pure_logits,0.8545454545454545,1.0,1.0,0.0,0.1492511,0.14208573
49,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb,0.7818181818181817,4.646464646464646,1.0,0.0,0.14783941,0.13649228
49,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8181818181818181,7.5376884422110555,1.0,0.0,0.14906913,0.13778144
49,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_global,0.8545454545454545,0.0,1.0,0.0,0.14913,0.13956581
