dataset,split_idx,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,ensemble_time,calibration_time,path,threshold,set_size,auc,aurac,aorac,ece,ece_adaptive,brier_score,conformal_coverage,conformal_set_size,misclassification
MNIST10Epochs10_5L2Reg,8,pure_logits,greedy_5_temp_pool_then_calibrate,5,4,0.0248725097626447,1.236734693877551,,,0.0191714763641357,0.0279874801635742,cnn_experiments_data/arrays/mnist10epochs10_5l2reg_8_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz,0.0,1.0,0.9999382631228808,0.9898385434105763,0.01016145658942369,0.00423863096960958,0.004238574323909626,0.011719523953044833,0.9924107142857143,1.0,0.007785714285714286
MNIST10Epochs10_5L2Reg,8,pure_logits,greedy_5_temp_calibrate_then_pool,5,4,0.0242770016193389,1.4630903790087464,1.0,1.0,0.0191714763641357,13.772310733795166,cnn_experiments_data/arrays/mnist10epochs10_5l2reg_8_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz,0.0,1.0,0.9999409938523401,0.9898481754964784,0.01015182450352159,0.003929964563676255,0.003975140712090849,0.011382839487946553,0.9929464285714286,1.0,0.0074285714285714285
MNIST10Epochs10_5L2Reg,8,pure_logits,greedy_5_post_calib,5,4,0.0221154224127531,1.7804581424406498,0.2448979591836734,1.0,0.0191714763641357,20.02385973930359,cnn_experiments_data/arrays/mnist10epochs10_5l2reg_8_pure_logits_greedy_5_post_calib_2025-11-30.npz,0.0,1.0,0.9999486110270872,0.9898812793578048,0.010118720642195211,0.002003032041447491,0.0020870723830802244,0.010463748156223376,0.9933928571428572,1.0,0.007071428571428571
MNIST10Epochs10_5L2Reg,9,pure_logits,greedy_5_baseline,5,4,0.0305873900651931,,,,0.0238635540008544,0.0,cnn_experiments_data/arrays/mnist10epochs10_5l2reg_9_pure_logits_greedy_5_baseline_2025-11-30.npz,0.0,1.0,0.9998492884838655,0.9898255328238447,0.010174467176155333,0.0015643110402992785,0.0020509528560298017,0.013137839647177994,0.9916964285714286,1.0,0.008071428571428571
MNIST10Epochs10_5L2Reg,9,pure_logits,greedy_5_temp_pool_then_calibrate,5,4,0.0300987400114536,1.236734693877551,,,0.0238635540008544,0.0324387550354003,cnn_experiments_data/arrays/mnist10epochs10_5l2reg_9_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz,0.0,1.0,0.9998493357948129,0.9898292032947981,0.010170796705201934,0.0040268568013395074,0.004073664243732132,0.013545097887887596,0.9916964285714286,1.0,0.008071428571428571
MNIST10Epochs10_5L2Reg,9,pure_logits,greedy_5_temp_calibrate_then_pool,5,4,0.0290056373924016,1.4393002915451896,1.0,1.0,0.0238635540008544,14.19077205657959,cnn_experiments_data/arrays/mnist10epochs10_5l2reg_9_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz,0.0,1.0,0.9998507391070899,0.9898352826978097,0.010164717302190263,0.00405234225307189,0.00448102318176198,0.013169555911184705,0.991875,1.0,0.007928571428571429
MNIST10Epochs10_5L2Reg,9,pure_logits,greedy_5_post_calib,5,4,0.0269465148448944,1.6707038733860893,0.6097459391920034,1.0,0.0238635540008544,9.199867010116575,cnn_experiments_data/arrays/mnist10epochs10_5l2reg_9_pure_logits_greedy_5_post_calib_2025-11-30.npz,0.0,1.0,0.9998547167449109,0.9898524448244544,0.010147555175545553,0.0022058205306530057,0.0023721743353775043,0.01241968020610934,0.9916964285714286,1.0,0.008
MNIST40Epochs10_4L2Reg,0,pure_logits,greedy_5_baseline,5,4,0.0247668363153934,,,,0.1909291744232177,0.0,cnn_experiments_data/arrays/mnist40epochs10_4l2reg_0_pure_logits_greedy_5_baseline_2025-11-30.npz,0.0,1.0,0.9999494195106005,0.9899105905484306,0.010089409451569442,0.0018917149518217216,0.0021468916492803063,0.01155012268006247,0.993125,1.0,0.0074285714285714285
MNIST40Epochs10_4L2Reg,0,pure_logits,greedy_5_temp_pool_then_calibrate,5,4,0.0249792765825986,1.126530612244898,,,0.1909291744232177,0.0301992893218994,cnn_experiments_data/arrays/mnist40epochs10_4l2reg_0_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz,0.0,1.0,0.9999494258953447,0.9899105832590719,0.010089416740928114,0.0033385418355465447,0.0037315665994371323,0.011807891164884348,0.993125,1.0,0.0074285714285714285
MNIST40Epochs10_4L2Reg,0,pure_logits,greedy_5_temp_calibrate_then_pool,5,4,0.024485258385539,1.297109537692628,1.0,1.0,0.1909291744232177,4.345640420913696,cnn_experiments_data/arrays/mnist40epochs10_4l2reg_0_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz,0.0,1.0,0.9999513396374352,0.9899174837935424,0.010082516206457615,0.0035108053492647843,0.003904661898102091,0.011593910024491729,0.9933928571428572,1.0,0.007285714285714286
