dataset,split_idx,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,ensemble_time,calibration_time,path,threshold,set_size,auc,aurac,aorac,ece,ece_adaptive,brier_score,conformal_coverage,conformal_set_size,accuracy
CIFAR,0,pure_logits,greedy_5_baseline,5,4,0.4801318347454071,,,,0.0164370536804199,0.0,cnn_experiments_data/arrays/cifar_0_pure_logits_greedy_5_baseline_2025-11-30.npz,0.9988481983667569,4.926,0.9852972274801365,0.9535039728731262,0.04649602712687384,0.034511341256399944,0.034511341256399944,0.2322335595645596,0.9997916666666666,5.6301041666666665,0.83825
CIFAR,0,pure_logits,greedy_5_temp_pool_then_calibrate,5,4,0.4780862331390381,0.8510204081632653,,,0.0164370536804199,0.0247807502746582,cnn_experiments_data/arrays/cifar_0_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz,0.99963469359981,4.863583333333334,0.9853636618378363,0.953449312435468,0.046550687564531956,0.017008999762435743,0.017008999762435743,0.2294146793689071,0.9995833333333334,5.486354166666667,0.83825
CIFAR,0,pure_logits,greedy_5_temp_calibrate_then_pool,5,4,0.4802664518356323,0.9337609329446064,1.0,1.0,0.0164370536804199,4.653306007385254,cnn_experiments_data/arrays/cifar_0_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz,0.9992145156189742,4.871583333333334,0.9852345541030259,0.9533190018606742,0.0466809981393258,0.027179582777122627,0.027179582777122627,0.23182898505429994,0.9997916666666666,5.576770833333334,0.8380833333333333
CIFAR,0,pure_logits,greedy_5_post_calib,5,4,0.459880381822586,1.094344023323615,0.2448979591836734,1.0,0.0164370536804199,10.128378629684448,cnn_experiments_data/arrays/cifar_0_pure_logits_greedy_5_post_calib_2025-11-30.npz,0.9987565574710574,4.617666666666667,0.9861159615848688,0.9548465355732465,0.0451534644267535,0.00890361427639922,0.00890361427639922,0.22415233119596448,1.0,5.7546875,0.8415833333333333
CIFAR,1,pure_logits,greedy_5_baseline,5,5,0.4473716914653778,,,,0.0155308246612548,0.0,cnn_experiments_data/arrays/cifar_1_pure_logits_greedy_5_baseline_2025-11-30.npz,0.9966360458204521,4.301166666666667,0.9870471099851631,0.9583370584684536,0.04166294153154637,0.049564166518549134,0.049564166518549134,0.21717205292649275,1.0,5.260833333333333,0.8526666666666667
CIFAR,1,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.4368791580200195,0.7959183673469388,,,0.0155308246612548,0.021451711654663,cnn_experiments_data/arrays/cifar_1_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz,0.9990845521516756,4.145666666666667,0.987164358575605,0.9583809843230421,0.041619015676957916,0.013630105475584683,0.013630105475584683,0.21151708611144113,1.0,5.055,0.8526666666666667
CIFAR,1,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.4452615082263946,0.8876301541024573,1.0,1.0,0.0155308246612548,4.707743883132935,cnn_experiments_data/arrays/cifar_1_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz,0.9981766675820978,4.271,0.9869210364347968,0.9581523004396564,0.04184769956034362,0.03780606098100543,0.03780606098100543,0.21606708674600528,1.0,5.200729166666667,0.8528333333333333
CIFAR,1,pure_logits,greedy_5_post_calib,5,5,0.4185636937618255,1.075801749271137,0.1699291961682632,1.0,0.0155308246612548,11.65662670135498,cnn_experiments_data/arrays/cifar_1_pure_logits_greedy_5_post_calib_2025-11-30.npz,0.9975233880586762,3.9770833333333333,0.9880998201481533,0.9595191435575263,0.04048085644247368,0.007252095479518162,0.007252095479518162,0.20792543599194097,0.9997916666666666,4.5955208333333335,0.855
CIFAR,2,pure_logits,greedy_5_baseline,5,4,0.4622476696968078,,,,0.0180821418762207,0.0,cnn_experiments_data/arrays/cifar_2_pure_logits_greedy_5_baseline_2025-11-30.npz,0.9963683992351303,4.275083333333333,0.9864596129510096,0.9572823894975688,0.04271761050243117,0.050974411999185884,0.050974411999185884,0.22267145521800952,0.9990625,4.322291666666667,0.8496666666666667
CIFAR,2,pure_logits,greedy_5_temp_pool_then_calibrate,5,4,0.4533721208572387,0.7959183673469388,,,0.0180821418762207,0.0284125804901123,cnn_experiments_data/arrays/cifar_2_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz,0.9991520200553654,4.232166666666667,0.9865916937586116,0.9572920551161507,0.042707944883849325,0.012806466810405231,0.012806466810405231,0.21714137216696328,0.9990625,4.236979166666667,0.8496666666666667
CIFAR,2,pure_logits,greedy_5_temp_calibrate_then_pool,5,4,0.4597862064838409,0.8683881715951687,1.0,1.0,0.0180821418762207,4.521759271621704,cnn_experiments_data/arrays/cifar_2_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz,0.9983110459808135,4.24875,0.986358319323403,0.956938002210413,0.04306199778958697,0.03395884784683585,0.03395884784683585,0.2212466850559548,0.9991666666666666,4.313854166666666,0.84925
CIFAR,2,pure_logits,greedy_5_post_calib,5,4,0.4353217780590057,1.0121782590587256,0.2432319866722199,1.0,0.0180821418762207,9.621597528457642,cnn_experiments_data/arrays/cifar_2_pure_logits_greedy_5_post_calib_2025-11-30.npz,0.9980315976229037,4.166416666666667,0.987364143118975,0.9585962423206809,0.04140375767931914,0.006054624689122057,0.006054624689122057,0.21216021133246318,0.9986458333333333,4.081145833333333,0.852
CIFAR,3,pure_logits,greedy_5_baseline,5,5,0.4744132161140442,,,,0.0142552852630615,0.0,cnn_experiments_data/arrays/cifar_3_pure_logits_greedy_5_baseline_2025-11-30.npz,0.9966360458204521,4.36425,0.9862740602197976,0.9555946911961125,0.04440530880388749,0.055728161128858755,0.055728161128858755,0.2296548559117646,0.9969791666666666,3.6460416666666666,0.84525
CIFAR,3,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.4625801742076874,0.7959183673469388,,,0.0142552852630615,0.0219175815582275,cnn_experiments_data/arrays/cifar_3_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz,0.9993260285509822,4.4115,0.9863985538528596,0.955676970264258,0.04432302973574198,0.016397364461173593,0.016397364461173593,0.2231185418349199,0.9969791666666666,3.6647916666666664,0.84525
CIFAR,3,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.472245842218399,0.854493960849646,1.0,1.0,0.0142552852630615,4.098713874816895,cnn_experiments_data/arrays/cifar_3_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz,0.9987565574710574,4.440166666666666,0.9860864031434152,0.9551807027990068,0.0448192972009932,0.0399212775826454,0.0399212775826454,0.2282079696583333,0.9970833333333333,3.7113541666666667,0.8451666666666666
CIFAR,3,pure_logits,greedy_5_post_calib,5,5,0.4424954950809479,1.0583090379008746,0.0,1.0,0.0142552852630615,9.075127363204956,cnn_experiments_data/arrays/cifar_3_pure_logits_greedy_5_post_calib_2025-11-30.npz,0.9983110459808135,4.3005,0.9874429771600974,0.9571443950473945,0.04285560495260554,0.008191887435813717,0.008191887435813717,0.21868235496091992,0.9966666666666667,3.3420833333333335,0.8445833333333334
CIFAR,4,pure_logits,greedy_5_baseline,5,5,0.4572122395038605,,,,1.7329528331756592,0.0,cnn_experiments_data/arrays/cifar_4_pure_logits_greedy_5_baseline_2025-11-30.npz,0.9973263411627071,4.561416666666666,0.9870761994131401,0.9580316962388613,0.04196830376113869,0.05613051503896715,0.05613051503896715,0.21847392608438138,1.0,6.301354166666667,0.8544166666666667
CIFAR,4,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.4452548921108246,0.7959183673469388,,,1.7329528331756592,1.9333195686340328,cnn_experiments_data/arrays/cifar_4_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz,0.9994217103165082,4.514833333333334,0.9872081957426362,0.9580695897345681,0.04193041026543187,0.016425743289291875,0.016425743289291875,0.21156325792479605,1.0,6.347291666666667,0.8544166666666667
CIFAR,4,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.4545066058635711,0.8614410662224073,1.0,1.0,1.7329528331756592,5.507111310958862,cnn_experiments_data/arrays/cifar_4_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz,0.9989330853887797,4.587666666666666,0.9869493453941658,0.9577369329272768,0.042263067072723204,0.04026416577895484,0.04026416577895484,0.2167270034823604,0.9998958333333333,6.090729166666667,0.85375
CIFAR,4,pure_logits,greedy_5_post_calib,5,5,0.4249272346496582,1.0583090379008746,0.0,1.0,1.7329528331756592,11.767098903656006,cnn_experiments_data/arrays/cifar_4_pure_logits_greedy_5_post_calib_2025-11-30.npz,0.9990845521516756,4.7636666666666665,0.9879796731896455,0.9594019403628131,0.04059805963718688,0.006406593460589616,0.006406593460589616,0.20660392610787684,1.0,6.0215625,0.8549166666666667
CIFAR,5,pure_logits,greedy_5_baseline,5,5,0.4630910158157348,,,,0.0137915611267089,0.0,cnn_experiments_data/arrays/cifar_5_pure_logits_greedy_5_baseline_2025-11-30.npz,0.9968839670286543,4.28625,0.9868392491278097,0.957714820574782,0.042285179425218034,0.05509652959555389,0.05509652959555389,0.22296208320529104,0.9983333333333333,4.136875,0.849
CIFAR,5,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.4528700709342956,0.8510204081632653,,,0.0137915611267089,0.0218913555145263,cnn_experiments_data/arrays/cifar_5_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz,0.9988481983667569,4.246,0.9869660867546525,0.9576561644085257,0.042343835591474255,0.028121651946256543,0.028121651946256543,0.21755803840548082,0.9985416666666667,4.1734375,0.849
CIFAR,5,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.4617373049259186,0.9337609329446064,1.0,1.0,0.0137915611267089,4.455533504486084,cnn_experiments_data/arrays/cifar_5_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz,0.9978749854496547,4.29125,0.9867833390209431,0.9575369130173055,0.04246308698269452,0.048315456104775265,0.048315456104775265,0.22220754875977516,0.9983333333333333,4.159791666666667,0.84875
CIFAR,5,pure_logits,greedy_5_post_calib,5,5,0.4245449900627136,1.1311286963765097,0.0,1.0,0.0137915611267089,9.555095672607422,cnn_experiments_data/arrays/cifar_5_pure_logits_greedy_5_post_calib_2025-11-30.npz,0.9977059127281483,4.232916666666667,0.9879944103091374,0.9591148852397164,0.04088511476028356,0.009291242605696118,0.009291242605696118,0.20905231156202536,0.9991666666666666,4.507083333333333,0.8536666666666667
CIFAR,6,pure_logits,greedy_5_baseline,5,5,0.4605192840099334,,,,0.0141208171844482,0.0,cnn_experiments_data/arrays/cifar_6_pure_logits_greedy_5_baseline_2025-11-30.npz,0.9977059127281483,4.557,0.9862241357890571,0.9573131146335456,0.042686885366454375,0.045004360554118966,0.045004360554118966,0.22128150389867013,0.9989583333333333,4.5215625,0.8491666666666666
CIFAR,6,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.4535734951496124,0.7959183673469388,,,0.0141208171844482,0.0227737426757812,cnn_experiments_data/arrays/cifar_6_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz,0.9995403774129317,4.532333333333334,0.9863581794462043,0.9573162977233476,0.04268370227665241,0.010093260248502073,0.010093260248502073,0.2162134682657884,0.9991666666666666,4.5921875,0.8491666666666666
CIFAR,6,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.4595918655395508,0.8876301541024573,1.0,1.0,0.0141208171844482,4.156012058258057,cnn_experiments_data/arrays/cifar_6_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz,0.9988481983667569,4.539416666666667,0.9861151561415342,0.9570630391800911,0.04293696081990894,0.03281803783774375,0.03281803783774375,0.22032033237264084,0.9990625,4.53375,0.849
CIFAR,6,pure_logits,greedy_5_post_calib,5,5,0.4305661618709564,1.075801749271137,0.0,1.0,0.0141208171844482,11.192179918289185,cnn_experiments_data/arrays/cifar_6_pure_logits_greedy_5_post_calib_2025-11-30.npz,0.9983110459808135,4.312333333333333,0.9873071166610353,0.958806788703609,0.041193211296390975,0.0054519095594684494,0.0054519095594684494,0.21102863525935073,0.9996875,4.768854166666666,0.8525833333333334
CIFAR,7,pure_logits,greedy_5_baseline,5,4,0.4663928151130676,,,,0.7318694591522217,0.0,cnn_experiments_data/arrays/cifar_7_pure_logits_greedy_5_baseline_2025-11-30.npz,0.9981766675820978,4.624,0.9859090460341235,0.9552868134853674,0.04471318651463263,0.04208477958540124,0.04208477958540124,0.22519354974255626,0.99875,4.5578125,0.8475
CIFAR,7,pure_logits,greedy_5_temp_pool_then_calibrate,5,4,0.4609658718109131,0.8510204081632653,,,0.7318694591522217,0.0220355987548828,cnn_experiments_data/arrays/cifar_7_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz,0.9994217103165082,4.614833333333333,0.9859899057500371,0.955289111962704,0.04471088803729595,0.015428950726985934,0.015428950726985934,0.22139251757934422,0.99875,4.548541666666667,0.8475
CIFAR,7,pure_logits,greedy_5_temp_calibrate_then_pool,5,4,0.465480238199234,0.9246147438567264,1.0,1.0,0.7318694591522217,4.6917643547058105,cnn_experiments_data/arrays/cifar_7_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz,0.9989330853887797,4.656083333333333,0.9858539450871863,0.9551051486791576,0.044894851320842366,0.03302801260848839,0.03302801260848839,0.22443747248922635,0.99875,4.580416666666666,0.8473333333333334
CIFAR,7,pure_logits,greedy_5_post_calib,5,4,0.4429761171340942,1.075801749271137,0.2448979591836734,1.0,0.7318694591522217,10.55334186553955,cnn_experiments_data/arrays/cifar_7_pure_logits_greedy_5_post_calib_2025-11-30.npz,0.9986576253426299,4.586916666666666,0.98672749782588,0.9568964680782269,0.043103531921773075,0.007271691625316937,0.007271691625316937,0.21588269844940652,0.9998958333333333,5.509270833333333,0.8491666666666666
CIFAR,8,pure_logits,greedy_5_baseline,5,4,0.4734287559986114,,,,1.778339147567749,0.0,cnn_experiments_data/arrays/cifar_8_pure_logits_greedy_5_baseline_2025-11-30.npz,0.9975233880586762,4.581166666666666,0.9860442943906567,0.9551916325415608,0.04480836745843919,0.04222519114489358,0.04222519114489358,0.2278728670737709,0.9994791666666667,4.726770833333333,0.8456666666666667
CIFAR,8,pure_logits,greedy_5_temp_pool_then_calibrate,5,4,0.4674632847309112,0.8510204081632653,,,1.778339147567749,0.0239355564117431,cnn_experiments_data/arrays/cifar_8_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz,0.9990845521516756,4.503,0.986116236783691,0.9552230909529535,0.044776909047046454,0.01578318558260796,0.01578318558260796,0.22405022874369956,0.9995833333333334,4.804791666666667,0.8456666666666667
