dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,path,threshold,set_size,auc
mteb/tweet_sentiment_extraction,3,convex_comb,greedy_50_baseline,50,21,0.4848136305809021,,,,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_3_convex_comb_greedy_50_baseline_2025-04-25.npz,0.9734204999598582,2.2439162422184493,0.934640193481001
mteb/tweet_sentiment_extraction,3,convex_comb,greedy_50_temp_baseline,50,21,0.4842931032180786,1.0163265306122449,,,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_3_convex_comb_greedy_50_temp_baseline_2025-04-25.npz,0.9713057528362042,2.233446519524618,0.9346420326298266
mteb/tweet_sentiment_extraction,3,convex_comb,greedy_unique_5_temp_baseline,5,5,0.4929020404815674,1.4020408163265308,,,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_3_convex_comb_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9665581041966967,2.1774193548387095,0.9322445213273028
mteb/tweet_sentiment_extraction,3,convex_comb,greedy_unique_5_post_calib,5,5,0.4835680425167084,1.535360266555602,0.0,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_3_convex_comb_greedy_unique_5_post_calib_2025-04-25.npz,0.9579239491627013,2.143746462931522,0.9346496562216385
mteb/tweet_sentiment_extraction,3,convex_comb,greedy_50_post_calib,50,21,0.4796175360679626,1.2417825905872553,0.0,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_3_convex_comb_greedy_50_post_calib_2025-04-25.npz,0.954576248590888,2.1420486700622523,0.9362316005641104
mteb/tweet_sentiment_extraction,3,convex_comb,greedy_50_calib_once,17,17,0.4762666821479797,1.7114369012911288,0.0,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_3_convex_comb_greedy_50_calib_once_2025-04-25.npz,0.9579239491627013,2.1131861912846635,0.9390093819389946
mteb/tweet_sentiment_extraction,3,convex_comb,greedy_50_calib_every_step,15,15,0.476003885269165,1.6843981674302375,0.0,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_3_convex_comb_greedy_50_calib_every_step_2025-04-25.npz,0.9579239491627013,2.111771363893605,0.9388078240416832
mteb/tweet_sentiment_extraction,3,pure_logits,greedy_unique_5_baseline,5,5,0.5257154107093811,,,,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_3_pure_logits_greedy_unique_5_baseline_2025-04-25.npz,0.9908993078017677,2.1661007357102435,0.932248968947022
mteb/tweet_sentiment_extraction,3,pure_logits,greedy_50_baseline,50,21,0.4848136305809021,,,,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_3_pure_logits_greedy_50_baseline_2025-04-25.npz,0.9734204999598582,2.2439162422184493,0.934640193481001
mteb/tweet_sentiment_extraction,3,pure_logits,greedy_50_temp_baseline,50,21,0.4842931032180786,1.0163265306122449,,,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_3_pure_logits_greedy_50_temp_baseline_2025-04-25.npz,0.9713057528362042,2.233446519524618,0.9346420326298266
mteb/tweet_sentiment_extraction,3,pure_logits,greedy_unique_5_temp_baseline,5,5,0.4929020404815674,1.4020408163265308,,,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_3_pure_logits_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9665581041966967,2.1774193548387095,0.9322445213273028
mteb/tweet_sentiment_extraction,3,pure_logits,greedy_unique_5_post_calib,5,5,0.4799715280532837,1.615826738858809,0.4631403581840899,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_3_pure_logits_greedy_unique_5_post_calib_2025-04-25.npz,0.954576248590888,2.129032258064516,0.9368093540881328
mteb/tweet_sentiment_extraction,3,pure_logits,greedy_50_post_calib,50,21,0.4759505689144134,1.4077634319033736,0.6297376093294461,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_3_pure_logits_greedy_50_post_calib_2025-04-25.npz,0.9579239491627013,2.120260328239955,0.9381998345740955
mteb/tweet_sentiment_extraction,3,pure_logits,greedy_50_calib_once,22,19,0.4668735563755035,1.265472719700125,3.778425655976677,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_3_pure_logits_greedy_50_calib_once_2025-04-25.npz,0.9690227498992263,2.1049801924165252,0.9388076207392962
mteb/tweet_sentiment_extraction,3,pure_logits,greedy_50_calib_every_step,27,22,0.4671676456928253,1.1671636817992503,3.9250312369845903,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_3_pure_logits_greedy_50_calib_every_step_2025-04-25.npz,0.9665581041966967,2.057724957555178,0.9384527510292814
mteb/tweet_sentiment_extraction,4,convex_comb,greedy_unique_5_baseline,5,5,0.5060391426086426,,,,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_4_convex_comb_greedy_unique_5_baseline_2025-04-25.npz,0.9713057528362042,2.353140916808149,0.9306375580802495
mteb/tweet_sentiment_extraction,4,convex_comb,greedy_50_baseline,50,21,0.468384712934494,,,,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_4_convex_comb_greedy_50_baseline_2025-04-25.npz,0.9690227498992263,2.2031692133559706,0.9392088454567112
mteb/tweet_sentiment_extraction,4,convex_comb,greedy_50_temp_baseline,50,21,0.4687075018882751,1.0714285714285714,,,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_4_convex_comb_greedy_50_temp_baseline_2025-04-25.npz,0.9610249264065008,2.192133559705716,0.9392184810580749
mteb/tweet_sentiment_extraction,4,convex_comb,greedy_unique_5_temp_baseline,5,5,0.5047886371612549,0.9612244897959183,,,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_4_convex_comb_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9753793916128501,2.374080362195812,0.9306836935564794
mteb/tweet_sentiment_extraction,4,convex_comb,greedy_unique_5_post_calib,5,5,0.5043661594390869,1.2114952103290295,0.0,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_4_convex_comb_greedy_unique_5_post_calib_2025-04-25.npz,0.954576248590888,2.3126768534238824,0.9322399574832819
mteb/tweet_sentiment_extraction,4,convex_comb,greedy_50_post_calib,50,21,0.4655364155769348,1.286563931695127,0.0,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_4_convex_comb_greedy_50_post_calib_2025-04-25.npz,0.947060595353925,2.1196943972835314,0.940932587480727
mteb/tweet_sentiment_extraction,4,convex_comb,greedy_50_calib_once,9,9,0.4633640646934509,1.8353352769679303,0.0,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_4_convex_comb_greedy_50_calib_once_2025-04-25.npz,0.947060595353925,2.0619694397283532,0.9426608275032917
mteb/tweet_sentiment_extraction,4,convex_comb,greedy_50_calib_every_step,11,11,0.4636936485767364,1.850379008746356,0.0,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_4_convex_comb_greedy_50_calib_every_step_2025-04-25.npz,0.947060595353925,2.05291454442558,0.9426766213062218
mteb/tweet_sentiment_extraction,4,pure_logits,greedy_unique_5_baseline,5,5,0.5060391426086426,,,,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_4_pure_logits_greedy_unique_5_baseline_2025-04-25.npz,0.9713057528362042,2.353140916808149,0.9306375580802495
mteb/tweet_sentiment_extraction,4,pure_logits,greedy_50_baseline,50,21,0.468384712934494,,,,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_4_pure_logits_greedy_50_baseline_2025-04-25.npz,0.9690227498992263,2.2031692133559706,0.9392088454567112
mteb/tweet_sentiment_extraction,4,pure_logits,greedy_50_temp_baseline,50,21,0.4687075018882751,1.0714285714285714,,,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_4_pure_logits_greedy_50_temp_baseline_2025-04-25.npz,0.9610249264065008,2.192133559705716,0.9392184810580749
mteb/tweet_sentiment_extraction,4,pure_logits,greedy_unique_5_temp_baseline,5,5,0.5047886371612549,0.9612244897959183,,,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_4_pure_logits_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9753793916128501,2.374080362195812,0.9306836935564794
mteb/tweet_sentiment_extraction,4,pure_logits,greedy_unique_5_post_calib,5,5,0.4732873737812042,1.3414410662224074,0.0,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_4_pure_logits_greedy_unique_5_post_calib_2025-04-25.npz,0.947060595353925,2.089417091114884,0.9385851629701375
mteb/tweet_sentiment_extraction,4,pure_logits,greedy_50_post_calib,50,21,0.4618021249771118,1.474985422740525,0.5897542690545606,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_4_pure_logits_greedy_50_post_calib_2025-04-25.npz,0.947060595353925,2.033106960950764,0.942543237317465
mteb/tweet_sentiment_extraction,4,pure_logits,greedy_50_calib_once,14,13,0.4509727656841278,1.4077634319033736,3.305289462723865,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_4_pure_logits_greedy_50_calib_once_2025-04-25.npz,0.9610249264065008,2.05631013016412,0.9425455828306335
mteb/tweet_sentiment_extraction,4,pure_logits,greedy_50_calib_every_step,19,17,0.4513137340545654,1.3182007496876302,3.65847563515202,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_4_pure_logits_greedy_50_calib_every_step_2025-04-25.npz,0.9610249264065008,2.0410299943406907,0.9421294697829036
ag_news,0,convex_comb,greedy_unique_5_baseline,5,5,0.1750968545675277,,,,llm_experiments_data/arrays/ftc_ag_news_0_convex_comb_greedy_unique_5_baseline_2025-04-25.npz,0.995067237475685,1.2822368421052632,0.9941241343490305
ag_news,0,convex_comb,greedy_50_baseline,50,19,0.1581828445196151,,,,llm_experiments_data/arrays/ftc_ag_news_0_convex_comb_greedy_50_baseline_2025-04-25.npz,0.9844471273184587,1.3819736842105264,0.9927221144967682
ag_news,0,convex_comb,greedy_50_temp_baseline,50,19,0.1541571319103241,1.126530612244898,,,llm_experiments_data/arrays/ftc_ag_news_0_convex_comb_greedy_50_temp_baseline_2025-04-25.npz,0.9734204999598582,1.3694736842105264,0.9927154778393351
