dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,path,aurac,aorac
imdb,4,convex_comb,greedy_50_temp_baseline,50,21,0.1278975158929824,1.0714285714285714,,,llm_experiments_data/arrays/imdb_4_convex_comb_greedy_50_temp_baseline_2025-04-20.npz,0.9812800706238075,0.01871992937619249
imdb,4,convex_comb,greedy_unique_5_temp_baseline,5,5,0.1366505622863769,1.1816326530612244,,,llm_experiments_data/arrays/imdb_4_convex_comb_greedy_unique_5_temp_baseline_2025-04-20.npz,0.9798085632713537,0.020191436728646317
imdb,4,convex_comb,greedy_unique_5_post_calib,5,5,0.1342167854309082,1.352436484798001,0.0,1.0,llm_experiments_data/arrays/imdb_4_convex_comb_greedy_unique_5_post_calib_2025-04-20.npz,0.9805676804706356,0.019432319529364417
imdb,4,convex_comb,greedy_50_post_calib,50,21,0.1290177553892135,1.0453644314868804,0.0489795918367346,1.0,llm_experiments_data/arrays/imdb_4_convex_comb_greedy_50_post_calib_2025-04-20.npz,0.9813542717579665,0.018645728242033477
imdb,4,convex_comb,greedy_50_calib_once,26,16,0.1291943937540054,1.809645980841316,0.073469387755102,1.0,llm_experiments_data/arrays/imdb_4_convex_comb_greedy_50_calib_once_2025-04-20.npz,0.9821470938588139,0.017852906141186065
imdb,4,convex_comb,greedy_50_calib_every_step,24,17,0.1282742172479629,1.573744273219492,0.073469387755102,1.0,llm_experiments_data/arrays/imdb_4_convex_comb_greedy_50_calib_every_step_2025-04-20.npz,0.9821516023131774,0.01784839768682256
imdb,4,pure_logits,greedy_unique_5_baseline,5,5,0.1434182375669479,,,,llm_experiments_data/arrays/imdb_4_pure_logits_greedy_unique_5_baseline_2025-04-20.npz,0.9798085632713537,0.020191436728646317
imdb,4,pure_logits,greedy_50_baseline,50,21,0.1295195668935775,,,,llm_experiments_data/arrays/imdb_4_pure_logits_greedy_50_baseline_2025-04-20.npz,0.9812800706238075,0.01871992937619249
imdb,4,pure_logits,greedy_50_temp_baseline,50,21,0.1278975158929824,1.0714285714285714,,,llm_experiments_data/arrays/imdb_4_pure_logits_greedy_50_temp_baseline_2025-04-20.npz,0.9812800706238075,0.01871992937619249
imdb,4,pure_logits,greedy_unique_5_temp_baseline,5,5,0.1366505622863769,1.1816326530612244,,,llm_experiments_data/arrays/imdb_4_pure_logits_greedy_unique_5_temp_baseline_2025-04-20.npz,0.9798085632713537,0.020191436728646317
imdb,4,pure_logits,greedy_unique_5_post_calib,5,5,0.1334708333015442,1.5106705539358602,0.7663473552686381,1.0,llm_experiments_data/arrays/imdb_4_pure_logits_greedy_unique_5_post_calib_2025-04-20.npz,0.9818622624319201,0.018137737568079904
imdb,4,pure_logits,greedy_50_post_calib,50,21,0.1289136707782745,0.995585172844648,1.0329029571012078,1.0,llm_experiments_data/arrays/imdb_4_pure_logits_greedy_50_post_calib_2025-04-20.npz,0.9811911622283311,0.018808837771668863
imdb,4,pure_logits,greedy_50_calib_once,18,12,0.12814661860466,1.1285797584339858,3.358600583090379,1.0,llm_experiments_data/arrays/imdb_4_pure_logits_greedy_50_calib_once_2025-04-20.npz,0.9816086156557915,0.018391384344208506
imdb,4,pure_logits,greedy_50_calib_every_step,15,12,0.127146378159523,0.9872886297376092,3.1236984589754275,1.0,llm_experiments_data/arrays/imdb_4_pure_logits_greedy_50_calib_every_step_2025-04-20.npz,0.9811088924415989,0.018891107558401066
mteb/tweet_sentiment_extraction,0,convex_comb,greedy_unique_5_baseline,5,5,0.5419113039970398,,,,llm_experiments_data/arrays/mteb_tweet_sentiment_extraction_0_convex_comb_greedy_unique_5_baseline_2025-04-20.npz,0.8960601575620758,0.1039398424379242
mteb/tweet_sentiment_extraction,0,convex_comb,greedy_50_baseline,50,26,0.5077022314071655,,,,llm_experiments_data/arrays/mteb_tweet_sentiment_extraction_0_convex_comb_greedy_50_baseline_2025-04-20.npz,0.9074722143458596,0.09252778565414044
mteb/tweet_sentiment_extraction,0,convex_comb,greedy_50_temp_baseline,50,26,0.5073590278625488,1.0163265306122449,,,llm_experiments_data/arrays/mteb_tweet_sentiment_extraction_0_convex_comb_greedy_50_temp_baseline_2025-04-20.npz,0.907477333121785,0.09252266687821498
mteb/tweet_sentiment_extraction,0,convex_comb,greedy_unique_5_temp_baseline,5,5,0.5396257042884827,1.0714285714285714,,,llm_experiments_data/arrays/mteb_tweet_sentiment_extraction_0_convex_comb_greedy_unique_5_temp_baseline_2025-04-20.npz,0.8959464758030029,0.1040535241969971
