dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,path,threshold,set_size,auc,aurac,aorac
stanfordnlp/sst2,2,pure_logits,greedy_50_temp_baseline,50,24,0.1324533820152282,1.0163265306122449,,,llm_experiments_data/arrays/stanfordnlp_sst2_2_pure_logits_greedy_50_temp_baseline_2025-04-24.npz,0.9383014287164605,1.1853192279138827,0.9877149011394204,0.9821120822757936,0.017887917724206392
stanfordnlp/sst2,2,pure_logits,greedy_unique_5_temp_baseline,5,5,0.1477029919624328,1.236734693877551,,,llm_experiments_data/arrays/stanfordnlp_sst2_2_pure_logits_greedy_unique_5_temp_baseline_2025-04-24.npz,0.9713057528362042,1.2477728285077951,0.985427676619079,0.9785099544343111,0.021490045565688898
stanfordnlp/sst2,2,pure_logits,greedy_unique_5_post_calib,5,5,0.1381254196166992,1.7255810079133695,0.2448979591836734,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_2_pure_logits_greedy_unique_5_post_calib_2025-04-24.npz,0.9638973636691187,1.1973830734966593,0.9874637405876566,0.9819876972254897,0.01801230277451027
stanfordnlp/sst2,2,pure_logits,greedy_50_post_calib,50,24,0.131059467792511,1.4868804664723034,0.793002915451895,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_2_pure_logits_greedy_50_post_calib_2025-04-24.npz,0.9428485727976632,1.178173719376392,0.9884568635841491,0.9828149244662429,0.017185075533757144
stanfordnlp/sst2,2,pure_logits,greedy_50_calib_once,6,6,0.1320770978927612,1.9450895460224904,4.338192419825073,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_2_pure_logits_greedy_50_calib_once_2025-04-24.npz,0.9509621946209896,1.178637713437268,0.9880847339208525,0.9822106300257244,0.017789369974275604
stanfordnlp/sst2,2,pure_logits,greedy_50_calib_every_step,7,7,0.1336489170789718,1.8747188671386923,3.718450645564349,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_2_pure_logits_greedy_50_calib_every_step_2025-04-24.npz,0.947060595353925,1.1967334818114328,0.9878550283337779,0.9821439805598502,0.017856019440149806
stanfordnlp/sst2,3,convex_comb,greedy_unique_5_baseline,5,5,0.1540718078613281,,,,llm_experiments_data/arrays/stanfordnlp_sst2_3_convex_comb_greedy_unique_5_baseline_2025-04-24.npz,0.9876386320173118,1.2487936154417223,0.9850722104009445,0.9790862219196111,0.020913778080388856
stanfordnlp/sst2,3,convex_comb,greedy_50_baseline,50,22,0.1327857226133346,,,,llm_experiments_data/arrays/stanfordnlp_sst2_3_convex_comb_greedy_50_baseline_2025-04-24.npz,0.9509621946209896,1.1935783221974758,0.9873031060745889,0.9817174313473856,0.01828256865261435
stanfordnlp/sst2,3,convex_comb,greedy_50_temp_baseline,50,22,0.1326279044151306,1.0163265306122449,,,llm_experiments_data/arrays/stanfordnlp_sst2_3_convex_comb_greedy_50_temp_baseline_2025-04-24.npz,0.9509621946209896,1.1981254639940608,0.987303106074589,0.9817174313473856,0.01828256865261435
stanfordnlp/sst2,3,convex_comb,greedy_unique_5_temp_baseline,5,5,0.1486962437629699,1.1816326530612244,,,llm_experiments_data/arrays/stanfordnlp_sst2_3_convex_comb_greedy_unique_5_temp_baseline_2025-04-24.npz,0.9771939142407526,1.2544543429844097,0.9850722626389967,0.9790891862879042,0.0209108137120958
